"--Select--","--Kies--"
"To","Aan"
"Qty:","Aantal"
"Separately","Apart"
"Gift Message","Bericht bij cadeau"
"Message:","Bericht:"
"Buy %1$s with %2$s discount each","Bestel %1$s met %2$s korting"
"Bundle Items","Bundel-artikelen"
"Ship Bundle Items","Bundel-artikelen verzenden"
"Bundle Product","Bundelproduct"
"Checkbox","Checkbox"
"This product is also part of bundle(s)","Dit product is ook onderdeel van één of meer bundels"
"User Defined Qty","Door gebruiker gedefinieerd aantal"
"Drop-down","Drop-down"
"Dynamic","Dynamisch"
"There is no defined renderer for ""%s"" option type","Er is geen weergave gedefinieerd voor optietype “%s”"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"Excl. Tax","Excl. BTW"
"None","Geen"
"Selected required options not available.","Geselecteerde verplichte opties niet beschikbaar"
"Incl. Tax","Incl. BTW"
"Is Required","Is verplicht"
"Choose a selection...","Kies een selectie..."
"Please select options for product.","Kies opties voor het product a.u.b."
"Please select products to add","Kies producten om toe te voegen a.u.b."
"Percent Discount","Kortingspercentage"
"Multiple Select","Meervoudige selectie"
"N/A","N/B"
"Add New Option","Nieuwe optie toevoegen"
"Percent","Percentage"
"Position","Positie"
"Price as configured","Prijs zoals weergegeven"
"Price Range","Prijsrange"
"Price Type","Prijstype"
"Radio Buttons","Radio buttons"
"Together","Samen"
"Add Selection","Selectie toevoegen"
"As low as","Slechts"
"Close","Sluiten"
"Please specify product option(s)","Specificeer de product-opties a.u.b."
"Default","Standaard"
"Default Qty","Standaard-aantal"
"Default Title","Standaard-titel"
"To:","Tot:"
"Input Type","Type invoerveld"
"From","Van"
"From:","Van:"
"Fixed","Vast"
"Required options not selected.","Verplichte opties niet geselecteerd"
"Shipment","Verzending"
"Please enter search conditions to view products.","Vul zoekcriteria in om producten te bekijken"
"Store View Title","Zichttitel bewaren"
