"Gateway request error: %s","'Gateway request' fout: %s"
"Authorize Only","Alleen toestemming verlenen"
"API Login ID","API Login ID"
"Authorize and Capture","Authoriseer en Capture"
"Authorize.net","Authorize.net"
"Payment authorization error.","Betaling autorisatie fout."
"Payment authorization transaction has been declined.","Betaling autorisatie transactie is afgewezen"
"Payment from applicable countries","Betaling van landen die van toepassing zijn."
"Payment from Specific countries","Betaling van specifieke landen."
"Payment Action","Betalingsactie"
"Credit Card Types","Credit Card Type"
"Credit Card Verification","Credit Card Verficatie"
"Debug","Debuggen"
"Email customer","E-mail klant"
"Error in capturing the payment","Fout bij afvangen van betaling"
"Error in authorizing the payment","Fout bij autorisatie betaling"
"Error in refunding the payment.","Fout bij terugboeken van betaling"
"Error in refunding the payment","Fout bij terugboeken van betaling."
"Error in payment gateway","Fout in betaling gateway"
"Error in retrieving the transaction","Fout in het ophalen van transactie"
"Fraud order status","Fraude Bestelling Status"
"Voided transaction","Geannuleerde transactie"
"User","Gebruiker"
"Merchant's email","Handelaar E-mail"
"Merchant Login","Handelaar Login"
"Enabled","Ingeschakeld"
"Maximum Order Total","Maximaal Order Totaal"
"Minimum Order Total","Minimaal order totaal"
"TENDER","OFFERTE"
"Invalid amount for authorization","Ongeldige hoeveelheid voor autorisatie"
"Invalid amount for authorization.","Ongeldige hoeveelheid voor autorisatie."
"Invalid transaction id","Ongeldige transactie id"
"Partner","Partner"
"Payflow Pro","Payflow Pro"
"Use Proxy","Proxy Gebruiken"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Sorteer volgorde"
"New order status","Status nieuwe bestelling"
"Test mode","Test modus"
"Title","Titel"
"Transaction key","Transactie code"
"URL","URL"
"VERBOSITY","VERBOSITEIT"
"Password","Wachtwoord"
