"ALL","ALLE"
"If %s of these conditions are %s:","Als %s van deze voorwaarden %s zijn:"
"ANY","ANY"
"Start at: %s","Begin op: %s"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"contains","bevat"
"does not contain","bevat niet"
"by","door"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of kleiner dan"
"greater than","groter dan"
"is","is"
"is not","is niet"
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Please choose a condition to add...","Kies een conditie om toe te voegen aub..."
"Open Chooser","Kiezer openen"
"less than","kleiner dan"
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"Name: %s","Naam: %s"
"to","naar"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Description: %s","Omschrijving: %s"
"Invalid discount amount.","Ongeldig kortingsbedrag"
"FALSE","ONJUIST"
"Apply","Toepassen"
"Add","Toevoegen"
"Expire at: %s","Verloopt op: %s"
"Remove","Verwijderen"
"Perform following actions","Voer de volgende acties uit"
"TRUE","WAAR"
