"Loaded %d records","%d records geladen"
"Attribute set with the ""%s"" name already exists","Attributen-set met de naam ""%s"" bestaat al"
"Attribute '%s' used in configurable products.","Attribuut ‘%s’ gebruikt in configureerbare producten."
"Attribute used in configurable products.","Attribuut gebruikt in configureerbare producten."
"Attribute with the same code","Attribuut met dezelfde code"
"Data integrity: No header row found for attribute","Data-integriteit: Geen header-rij gevonden voor attribuut"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","Deze attribuut-code '%s' is gereserveerd door het systeem. Probeer een andere."
"EAV types and attributes","EAV types en attributen"
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"Valid store_id is expected!","Er wordt een geldige store-id verwacht!"
"Frontend label is not defined","Frontend-label is niet gedefinieerd"
"No options found in config node %s","Geen opties gevonden in config node %s"
"Joined field with this alias (%s) is already declared","Gekoppeld veld met deze alias (%s) bestaat al"
"Joined field with this alias is already declared","Gekoppeld veld met deze alias bestaat al"
"Joined field or attribute expression with this alias is already declared","Gekoppeld veld of attribuut-expressie met deze alias bestaat al"
"Failed to load node %s from config.","Het is niet gelukt om node %s te laden van config."
"Yes","Ja"
"No","Nee"
"Unknown parameter","Onbekende parameter"
"Invalid alias, already exists in joined attributes","Ongeldig alias, bestaat al in gekoppelde attributen"
"Invalid attribute requested: %s","Ongeldig attribuut opgevraagd: %s"
"Invalid attribute type","Ongeldig attribuuttype"
"Invalid entity type","Ongeldig entiteittype"
"Invalid entity_type specified: %s","Ongeldig entity-type opgegeven: %s"
"Invalid character encountered in increment ID: %s","Ongeldig teken in oplopend ID: %s"
"Invalid attribute name: %s","Ongeldige attribuutnaam: %s"
"Invalid entity supplied","Ongeldige entiteit opgegeven"
"Invalid entity specified","Ongeldige entiteit opgegeven"
"Invalid entity supplied: %s","Ongeldige entitieit opgegeven: %s"
"Invalid entity_id, skipping the record","Ongeldige entity-id, record wordt overgeslagen"
"Invalid foreign key","Ongeldige foreign key"
"Invalid joined fields","Ongeldige gekoppelde velden"
"Invalid data object key","Ongeldige key van data-object"
"Invalid store specified","Ongeldige winkel opgegeven"
"Attempt to add an invalid object","Poging om een ongeldig object toe te voegen"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Problem loading the collection, aborting. Error: %s","Probleem tijdens laden van de verzameling. Bezig met afbreken. Fout: %s"
"Problem loading a record, aborting. Error: %s","Probleem tijdens laden van een record. Bezig met afbreken. Fout: %s"
"Problem saving a record, aborting. Error: ","Problem saving a record, aborting. Error: "
"Saved ","Saved "
"Scope must not be changed, because the attribute is used in configurable products.","Scope mag niet worden gewijzigd omdat het attribuut gebruikt wordt in configureerbare producten."
"Wrong attribute set ID","Verkeerd attributenset-ID"
"Wrong attribute ID","Verkeerd attribuut-ID"
"Wrong attribute group ID","Verkeerd attribuutgroep-ID"
"Wrong entity ID","Verkeerd entiteit-ID"
"Entity collections expected","Verwachtte een entiteitencollectie"
"Entity collection expected","Verwachtte een entiteitencollectie"
"Value of attribute ""%s"" must be unique","Waarde van attribuut “%s”  moet uniek zijn"
"Default option value is not defined","Waarde van standaard-optie is niet gedefinieerd"
