"Quantity in cart","Aantal in winkelwagen"
"Active","Actief"
"Actions","Acties"
"General Information","Algemene Informatie"
"For matching items only","Alleen voor betreffende artikelen"
"Start at: %s","Begin op: %s"
"Date Start","Begindatum"
"Description","Beschrijving"
"Payment Method","Betaalwijze"
"Catalog","Catalogus"
"Product attribute combination","Combinatie van productattributen"
"Conditions combination","Combinatie van voorwaarden"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan bestaat niet meer"
"This rule no longer exists","Deze regel bestaat niet meer"
"Uses per customer","Gebruikt per klant"
"Uses per coupon","Gebruikt per kortingsbon"
"Free shipping","Gratis verzending"
"Update the Product","Het product updaten"
"ID","ID"
"Inactive","Inactief"
"Yes","Ja"
"Unable to find a page to delete","Kan geen pagina vinden om te verwijderen"
"Customer registered: %s","Klant geregistreerd: %s"
"Customer is new buyer: %s","Klant is nieuwe koper: %s"
"Customer Groups","Klantengroepen"
"Buy X get Y free (discount amount is Y)","Koop X en krijg Y gratis (kortingsbedrag is Y)"
"Percent of product price discount","Korting (percentage van productprijs)"
"Discount amount","Kortingsbedrag"
"Coupon code","Kortingscode"
"Coupon Code","Kortingscode"
"Discount Qty Step (Buy X)","Kortingstaffel, aantal (koop X)"
"Shipping Country","Land afleveradres"
"Maximum Qty Discount is Applied to","Maximale kwantumkorting wordt toegepast op"
"By Percentage","Met percentage"
"By Percentage of the original price","Met percentage van de oorspronkelijke prijs"
"By Fixed Amount","Met vast bedrag"
"By Fixed value","Met vast bedrag"
"Name: %s","Naam: %s"
"To Percentage","Naar percentage"
"No","Nee"
"NOT LOGGED IN","NIET INGELOGD"
"New Rule","Nieuwe regel"
"Add New Rule","Nieuwe regel toevoegen"
"Description: %s","Omschrijving: %s"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas de regel alleen toe als aan de volgende voorwaarden wordt voldaan (laat leeg voor alle producten)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Pas de regel alleen toe op artikelen uit winkelwagen die voldoen aan de volgende criteria (laat leeg voor alle artikelen)"
"Apply the rule to cart items matching the following conditions","Pas regel toe op artikelen uit winkelwagen die aan de volgende voorwaarden voldoen"
"Shipping Postcode","Postcode afleveradres"
"Price in cart","Prijs in winkelwagen"
"Shopping Cart Price Rule","Prijsregel winkelwagen"
"Update prices using the following information","Prijzen updaten door de volgende gegevens te gebruiken"
"Priority","Prioriteit"
"Update product's %s %s: %s","Producten %s %s: %s updaten"
"Promotions","Promoties"
"Shipping State/Province","Provincie afleveradres"
"Public In RSS Feed","Publiceren in RSS-feed"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Edit Rule","Regel bewerken"
"Rule was successfully deleted","Regel is mdg succes verwijderd"
"Rule was successfully saved","Regel is met succes opgeslagen"
"Save Rule","Regel opslaan"
"Delete Rule","Regel verwijderen"
"Rule Information","Regelgegevens"
"Rule Name","Regelnaam"
"Shipping Region","Regio afleveradres"
"Row total in cart","Rij-totaal in winkelwagen"
"Special price","Speciale prijs"
"Status","Status"
"Stop further rules processing","Stop met verder uitvoeren van regels"
"Products subselection","Subselectie producten"
"Subtotal","Subtotaal"
"Apply","Toepassen"
"Apply to","Toepassen op"
"To Date","Tot datum"
"To Percentage of the original price","Tot percentage van de oorspronkeljke prijs"
"To Fixed Amount","Tot vast bedrag"
"To Fixed Value","Tot vast bedrag"
"Total Items Quantity","Totale aantal artikelen"
"Total Weight","Totale gewicht"
"From Date","Vanaf datum"
"Fixed amount discount","Vast kortingsbedrag"
"Fixed amount discount for whole cart","Vaste kortingbedrag voor hele winkelwagen"
"Date Expire","Verloopdatum"
"Expire at: %s","Verloopt op: %s"
"Shipping Method","Verzendwijze"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Conditions","Voorwaarden"
"Shopping Cart Price Rules","Winkelwagen prijsregels"
"Cart Attribute","Winkelwagen-attribuut"
