"%s is not correct comparsion method.","% is geen juiste methode voor vergelijken"
"Allow Qty Below 0","Aantal onder 0 toestaan"
"Allow Qty Below 0 and Notify Customer","Aantal onder 0 toestaan en klant inlichten"
"Qty for Items' Status to become Out of Stock","Aantal waarbij de status wijzigt in 'Niet in voorraad'"
"Backorders","Backorders"
"Catalog Inventory","Catalogus voorraad"
"This product is currently out of stock.","Dit product is momenteel niet in voorraad"
"Some of the products are currently out of stock","Enkele  producten zijn momenteel niet in voorraad"
"Some of the products cannot be ordered in the requested quantity","Enkele producten kunnen niet in het gewenste aantal worden besteld"
"Some of the products can not be ordered in requested quantity","Enkele producten kunnen niet in het gewenste aantal worden besteld"
"No Backorders","Geen backorders"
"The requested quantity is not available.","Het gewenste aantal is niet beschikbaar."
"The requested quantity for ""%s"" is not available.","Het gewenste aantal voor “%s” is niet beschikbaar."
"The maximum quantity allowed for purchase is %s.","Het maximale aankoop-aantal is %s."
"The minimum quantity allowed for purchase is %s.","Het minimale aankoop-aantal is %s."
"Update the Product","Het product updaten"
"In Stock","In voorraad"
"Product Stock Options","Instellingen productvoorraad"
"Can not specify product identifier for order item","Kan geen product-identifier specificeren voor besteld artikel"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","Let op! Deze instellingen gelden voor de artikelen, niet voor de hele shoppingbag."
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in shoppingbag"
"Notify for Quantity Below","Melden bij aantal lager dan"
"By Percentage","Met percentage"
"By Fixed value","Met vast bedrag"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in shoppingbag"
"To Percentage","Naar percentage"
"Out of Stock","Niet in voorraad"
"Update product stock data","Productvoorraad bijwerken"
"Rule price","Regel prijs"
"Inventory Section","Sectie Voorraad"
"Set Items' Status to be In Stock When Order is Cancelled","Status wijzigen naar 'In Voorraad' bij annuleren van order."
"To Fixed Value","Tot vast bedrag"
"Update","Update"
"Decrease Stock When Order is Placed","Verminder voorraad wanneer bestelling is geplaatst"
"Stock Options","Voorraaad-opties"
"Inventory","Voorraad"
"Inventory API","Voorraad API"
"Manage Stock","Voorraad beheren"
"Stock item for Product in option is not valid","Voorraadartikel voor gekozen product is niet geldig"
"Stock item for Product is not valid","Voorraadartikel voor product is niet geldig"
"Retrieve stock data","Voorraadgegevens ophalen"
"Retrieve stock data by product ids","Voorraadgegevens via product-ID ophalen"
