"-- Please select --","-- Selecteer a.u.b. --"
"Base currency","Basis-valuta"
"Country and Format Type combination should be unique","Combinatie van land en formaattype moet uniek zijn"
"Connection timeout in seconds","Connection timeout in seconds"
"Directory","Directory"
"FATAL ERROR:","FATALE FOUT:"
"Error Email Sender","Fout e-mail afzender"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Template","Fout e-mail template"
"Frequency","Frequentie"
"Continue &raquo;","Ga verder %raquo;"
"Installed Currencies","Geinstalleerde valuta"
"Enabled","Ingeschakeld"
"Scheduled Import Settings","Instellingen geplande import"
"Unable to initialize import model","Kan geen import-model initialiseren"
"Cannot retrieve rate from %s","Kan koers niet opvragen van %s"
"Country","Land"
"Country Api","Land-API"
"List of countries","Landenlijst"
"List of regions in specified country","Lijst van regio's in bepaald land"
"Strikeiron Email Update Warnings","Meldingen van Strikeiron (adrescontrole USA)"
"Undefined rate from ""%s-%s""","Ongedefinieerde koers van “%s-%s”"
"Invalid target currency","Ongeldig doel-valuta"
"Invalid Import Service Specified","Ongeldige importservice opgegeven"
"Invalid rates received","Ongeldige koersen ontvangen"
"Invalid country code: %s","Ongeldige landcode: %s"
"State/Province","Provincie"
"Region","Regio"
"Region Api","Regio-API"
"Select Your Currency","Selecteer uw valuta"
"Service","Service"
"Remove space from currency sign","Spatie van valutateken verwijderen"
"Default display currency","Standaard-weergave valuta"
"Start Time","Starttijd"
"Allowed currencies","Toegestane valuta"
"Your current currency is: %s","Uw huidige valuata is: %s"
"Currency","Valuta"
"Currency will be used for all online payment transactions","Valuta zal worden gebruikt voor alle online betalingstransacties"
"Currency Setup","Valuta-instellingen"
"Currency Options","Valuta-opties"
"WARNING:","WAARSCHUWING:"
"Currency Update Warnings","Waarschuwingen valuta-update"
"Webservicex","Webservicex"
