"Disable Guest Checkout if cart contains downloadable items","""Niet-ingelogd afrekenen"" uitschakelen als de shoppingbag download-producten bevat."
"Guest checkout will only work with shareable","""Niet-ingelogd afrekenen"" werkt alleen met deelbare"
"Remove item","Artikel verwijderen"
"Order Item Status to enable Downloads","Artikelstatus om downloads in te schakelen"
"Gift Message","Bericht bij cadeau"
"Message:","Bericht:"
"Availability: In stock.","Beschikbaarheid:  In voorraad"
"Availability: Out of stock.","Beschikbaarheid:  Niet in voorraad."
"File","Bestand"
"File does not exists","Bestand bestaat niet"
"Ordered","Besteld"
"View Order","Bestelling bekijken"
"Order #","Bestelnummer"
"attachment","bijlage"
"Date","Datum"
"Shareable","Deelbaar"
"Sample","Demo"
"sample","demo"
"download","download"
"Downloadable Product","Download-product"
"Downloadable Information","Downloads"
"An error occurred while saving the file(s).","Er is een fout opgetreden bij het opslaan."
"Excl. Tax","Excl. BTW"
"Sorry, the was an error getting requested content. Please contact store owner.","Excuses. Er is een fout opgetreden bij het verzamelen van de opgevraagde content. Neem contact met ons a.u.b."
"Sorry, there was an error getting requested content. Please contact store owner.","Excuses. Er is een fout opgetreden bij het verzamelen van de opgevraagde content. Neem contact met ons a.u.b."
"Go to <a href=""%s"">My Downloadable Products</a>","Ga naar <a href=""%s"">Mijn download-producten</a>"
"Canceled","Geannuleerd"
"Invoiced","Gefactureerd"
"Incl. Tax","Incl. BTW"
"inline","inline"
"Can't connect to remote host, error: %s","Kan geen verbinding maken met remote host, error: %s"
"Link is not available.","Link is niet beschikbaar."
"Link has expired.","Link is verlopen."
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
"Open Links in New Window","Links openen in nieuw venster"
"Please log in to download your product.","Log in a.u.b. om uw product te downloaden."
"Max. Downloads","Max. downloads"
"My Downloadable Products","Mijn Download-producten"
"Add New Row","Nieuwe rij toevoegen"
"Unlimited","Onbeperkt"
"Invalid download link type","Ongeldig download-linktype"
"Invalid download URL scheme","Ongeldig scheme download-URL"
"Invalid download URL host","Ongeldige host download-URL"
"Requested link doesn't exist.","Opgevraagde link bestaat niet."
"Downloadable Product Options","Opties download-product"
"Price","Prijs"
"Please set resource file and link type","Resource-file en linktype instellen a.u.b."
"Remaining Downloads","Resterende downloads"
"Downloadable product Section","Sectie Download-product"
"Sorry, there was an error getting requested content","Sorry, er is een fout opgetreden bij het ophalen van de gevraagde informatie."
"Sort Order","Sorteervolgorde"
"Please specify product link(s).","Specificeer productlink(s) a.u.b."
"Default Link Title","Standaard-linktitel"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Start Download","Start het downloaden"
"Status","Status"
"Back","Terug"
"Refunded","Terugbetaald"
"Title","Titel"
"To:","Tot:"
"U","U"
"From:","Van:"
"Shipped","Verzonden"
"Pending","Wachtende"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
