"Qty","Aantal"
"Shipping Address","Afleveradres"
"Items in Your Shopping Cart","Artikelen in uw winkelwagen"
"Review Order","Bestelling bekijken"
"Billing Information","Betaalgegevens"
"Payment Method","Betaalwijze"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Email","E-mail"
"No shipping method required.","Geen verzendwijze nodig"
"Incl. Tax","Incl. BTW"
"You will be redirected to Paypal in a few seconds.","Over een paar seconden wordt u doorgestuurd naar PayPal."
"PayPal Account","PayPal Account"
"PayPal Email","PayPal e-mail"
"Place an Order","Plaats een bestelling"
"Price","Prijs"
"Product Name","Productnaam"
"Please select a shipping method...","Selecteer een verzendwijze"
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"Subtotal","Subtotaal"
"You will be redirected to PayPal website when you place an order.","U wordt doorgestuurd naar de PayPal website nadat u een bestelling plaatst."
"Your billing address will be ignored and you will be redirected to PayPal website","Uw factuuradres zal worden genegeerd en u wordt doorverwezen naar de PayPal website"
"Shipping Information","Verzendgegevens"
"Shipping Method","Verzendwijze"
"Update Shipping Method","Verzendwijze updaten"
"Change Shipping Address","Wijzigen"
"Change Payment Method","Wijzigen"
"Edit Shopping Cart","Winkelwagen bewerken"
