"There is no more hits remaining for the foreign Exchange Rate Service.",""
"There is an error in verifying an email. Please contact us.",""
"There is an error in retrieving tax rate. Please contact us",""
"Strikeiron foreign exchange rate is disabled",""
"Sales and Use Tax Type",""
"Pop up warning and accept",""
"Minimum tax rate",""
"Maximum tax rate",""
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.",""
"Global Address Verification",""
"Error address action",""
"Foreign Exchange Rates",""
"Enable sales and use tax",""
"Enable global address verification",""
"Enable foreign exchange rate",""
"Cannot retrieve rate from %s to %s",""
"%s is not supported currency.","%s is een niet ondersteunde valuta"
"Accept","Accepteren"
"Basic","Basis"
"Tax","BTW"
"Customer Tax Class","BTW-tariefgroep klant"
"Product Tax Class","BTW-tariefgroep product"
"Cannot retreive rate from strikeirion.","Cannot retreive rate from strikeirion"
"Country/Region/Postal code combination","Combinatie van land, regio en postcode"
"Verify address in admin","Controleer adres in admin"
"Check all email servers","Controleer alle e-mail servers"
"Verify email in admin","Controleer e-mail in admin"
"There is no response back from Strikeiron server","De Strikeiron server reageert niet"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mail adres kan niet geverifieerd worden. Controleer opnieuw en kijk of u uw e-mail adres goed heeft ingevuld."
"Email Verification","E-mail verificatie"
"Undetermined email action","Email actie niet gekend"
"Error Email Sender","Fout e-mail afzender"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Template","Fout e-mail template"
"Use","Gebruik"
"User ID","Gebruiker-ID"
"Invalid email address","Ongeldig e-mailadres"
"Enable email verification","Schakel email verificatie in"
"Enable US address verification","Schakel verificatie voor Amerikaanse adressen in"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Configuratie"
"Strikeiron Section","Strikeiron Sectie"
"US Address Verification","V.S. adres verificatie"
"Sales and Use Tax","Verkoop- en verbruiksbelasting"
"Complete","Voltooid"
"Password","Wachtwoord"
"Reject","Weigeren"
